service_id,date,exception_type
Toei.Mita/Weekday,20191107,1
Toei.Mita/Weekday,20191108,1
Toei.Mita/SaturdayHoliday,20191109,1
Toei.Mita/Weekday,20191111,1
Toei.Mita/Weekday,20191112,1
Toei.Mita/Weekday,20191113,1
Toei.Mita/Weekday,20191114,1
Toei.Mita/Weekday,20191115,1
Toei.Mita/SaturdayHoliday,20191116,1
Toei.Mita/Weekday,20191118,1
Toei.Mita/Weekday,20191119,1
Toei.Mita/Weekday,20191120,1
Toei.Mita/Weekday,20191121,1
Toei.Mita/Weekday,20191122,1
Toei.Mita/SaturdayHoliday,20191123,1
Toei.Mita/Weekday,20191125,1
Toei.Mita/Weekday,20191126,1
Toei.Mita/Weekday,20191127,1
Toei.Mita/Weekday,20191128,1
Toei.Mita/Weekday,20191129,1
Toei.Mita/SaturdayHoliday,20191130,1
Toei.Mita/Weekday,20191202,1
Toei.Mita/Weekday,20191203,1
Toei.Mita/Weekday,20191204,1
Toei.Mita/Weekday,20191205,1
Toei.Mita/Weekday,20191206,1
Toei.Mita/SaturdayHoliday,20191207,1
Toei.Mita/Weekday,20191209,1
Toei.Mita/Weekday,20191210,1
Toei.Mita/Weekday,20191211,1
Toei.Mita/Weekday,20191212,1
Toei.Mita/Weekday,20191213,1
Toei.Mita/SaturdayHoliday,20191214,1
Toei.Mita/Weekday,20191216,1
Toei.Mita/Weekday,20191217,1
Toei.Mita/Weekday,20191218,1
Toei.Mita/Weekday,20191219,1
Toei.Mita/Weekday,20191220,1
Toei.Mita/SaturdayHoliday,20191221,1
Toei.Mita/Weekday,20191223,1
Toei.Mita/Weekday,20191224,1
Toei.Mita/Weekday,20191225,1
Toei.Mita/Weekday,20191226,1
Toei.Mita/Weekday,20191227,1
Toei.Mita/SaturdayHoliday,20191228,1
Toei.Mita/Weekday,20191230,1
Toei.Mita/Weekday,20191231,1
Toei.Mita/Weekday,20200101,1
Toei.Mita/Weekday,20200102,1
Toei.Mita/Weekday,20200103,1
Toei.Mita/SaturdayHoliday,20200104,1
Toei.Mita/Weekday,20200106,1
Toei.Mita/Weekday,20200107,1
Toei.Mita/Weekday,20200108,1
Toei.Mita/Weekday,20200109,1
Toei.Mita/Weekday,20200110,1
Toei.Mita/SaturdayHoliday,20200111,1
Toei.Mita/Weekday,20200113,1
Toei.Mita/Weekday,20200114,1
Toei.Mita/Weekday,20200115,1
Toei.Mita/Weekday,20200116,1
Toei.Mita/Weekday,20200117,1
Toei.Mita/SaturdayHoliday,20200118,1
Toei.Mita/Weekday,20200120,1
Toei.Mita/Weekday,20200121,1
Toei.Mita/Weekday,20200122,1
Toei.Mita/Weekday,20200123,1
Toei.Mita/Weekday,20200124,1
Toei.Mita/SaturdayHoliday,20200125,1
Toei.Mita/Weekday,20200127,1
Toei.Mita/Weekday,20200128,1
Toei.Mita/Weekday,20200129,1
Toei.Mita/Weekday,20200130,1
Toei.Mita/Weekday,20200131,1
Toei.NipporiToneri/Weekday,20190805,1
Toei.NipporiToneri/Weekday,20190806,1
Toei.NipporiToneri/Weekday,20190807,1
Toei.NipporiToneri/Weekday,20190808,1
Toei.NipporiToneri/Weekday,20190809,1
Toei.NipporiToneri/SaturdayHoliday,20190810,1
Toei.NipporiToneri/Weekday,20190812,1
Toei.NipporiToneri/Weekday,20190813,1
Toei.NipporiToneri/Weekday,20190814,1
Toei.NipporiToneri/Weekday,20190815,1
Toei.NipporiToneri/Weekday,20190816,1
Toei.NipporiToneri/SaturdayHoliday,20190817,1
Toei.NipporiToneri/Weekday,20190819,1
Toei.NipporiToneri/Weekday,20190820,1
Toei.NipporiToneri/Weekday,20190821,1
Toei.NipporiToneri/Weekday,20190822,1
Toei.NipporiToneri/Weekday,20190823,1
Toei.NipporiToneri/SaturdayHoliday,20190824,1
Toei.NipporiToneri/Weekday,20190826,1
Toei.NipporiToneri/Weekday,20190827,1
Toei.NipporiToneri/Weekday,20190828,1
Toei.NipporiToneri/Weekday,20190829,1
Toei.NipporiToneri/Weekday,20190830,1
Toei.NipporiToneri/SaturdayHoliday,20190831,1
Toei.NipporiToneri/Weekday,20190902,1
Toei.NipporiToneri/Weekday,20190903,1
Toei.NipporiToneri/Weekday,20190904,1
Toei.NipporiToneri/Weekday,20190905,1
Toei.NipporiToneri/Weekday,20190906,1
Toei.NipporiToneri/SaturdayHoliday,20190907,1
Toei.NipporiToneri/Weekday,20190909,1
Toei.NipporiToneri/Weekday,20190910,1
Toei.NipporiToneri/Weekday,20190911,1
Toei.NipporiToneri/Weekday,20190912,1
Toei.NipporiToneri/Weekday,20190913,1
Toei.NipporiToneri/SaturdayHoliday,20190914,1
Toei.NipporiToneri/Weekday,20190916,1
Toei.NipporiToneri/Weekday,20190917,1
Toei.NipporiToneri/Weekday,20190918,1
Toei.NipporiToneri/Weekday,20190919,1
Toei.NipporiToneri/Weekday,20190920,1
Toei.NipporiToneri/SaturdayHoliday,20190921,1
Toei.NipporiToneri/Weekday,20190923,1
Toei.NipporiToneri/Weekday,20190924,1
Toei.NipporiToneri/Weekday,20190925,1
Toei.NipporiToneri/Weekday,20190926,1
Toei.NipporiToneri/Weekday,20190927,1
Toei.NipporiToneri/SaturdayHoliday,20190928,1
Toei.NipporiToneri/Weekday,20190930,1
Toei.NipporiToneri/Weekday,20191001,1
Toei.NipporiToneri/Weekday,20191002,1
Toei.NipporiToneri/Weekday,20191003,1
Toei.NipporiToneri/Weekday,20191004,1
Toei.NipporiToneri/SaturdayHoliday,20191005,1
Toei.NipporiToneri/Weekday,20191007,1
Toei.NipporiToneri/Weekday,20191008,1
Toei.NipporiToneri/Weekday,20191009,1
Toei.NipporiToneri/Weekday,20191010,1
Toei.NipporiToneri/Weekday,20191011,1
Toei.NipporiToneri/SaturdayHoliday,20191012,1
Toei.NipporiToneri/Weekday,20191014,1
Toei.NipporiToneri/Weekday,20191015,1
Toei.NipporiToneri/Weekday,20191016,1
Toei.NipporiToneri/Weekday,20191017,1
Toei.NipporiToneri/Weekday,20191018,1
Toei.NipporiToneri/SaturdayHoliday,20191019,1
Toei.NipporiToneri/Weekday,20191021,1
Toei.NipporiToneri/Weekday,20191022,1
Toei.NipporiToneri/Weekday,20191023,1
Toei.NipporiToneri/Weekday,20191024,1
Toei.NipporiToneri/Weekday,20191025,1
Toei.NipporiToneri/SaturdayHoliday,20191026,1
Toei.NipporiToneri/Weekday,20191028,1
Toei.NipporiToneri/Weekday,20191029,1
Toei.NipporiToneri/Weekday,20191030,1
Toei.NipporiToneri/Weekday,20191031,1
Toei.NipporiToneri/Weekday,20191101,1
Toei.NipporiToneri/SaturdayHoliday,20191102,1
Toei.NipporiToneri/Weekday,20191104,1
Toei.NipporiToneri/Weekday,20191105,1
Toei.NipporiToneri/Weekday,20191106,1
Toei.NipporiToneri/Weekday,20191107,1
Toei.NipporiToneri/Weekday,20191108,1
Toei.NipporiToneri/SaturdayHoliday,20191109,1
Toei.NipporiToneri/Weekday,20191111,1
Toei.NipporiToneri/Weekday,20191112,1
Toei.NipporiToneri/Weekday,20191113,1
Toei.NipporiToneri/Weekday,20191114,1
Toei.NipporiToneri/Weekday,20191115,1
Toei.NipporiToneri/SaturdayHoliday,20191116,1
Toei.NipporiToneri/Weekday,20191118,1
Toei.NipporiToneri/Weekday,20191119,1
Toei.NipporiToneri/Weekday,20191120,1
Toei.NipporiToneri/Weekday,20191121,1
Toei.NipporiToneri/Weekday,20191122,1
Toei.NipporiToneri/SaturdayHoliday,20191123,1
Toei.NipporiToneri/Weekday,20191125,1
Toei.NipporiToneri/Weekday,20191126,1
Toei.NipporiToneri/Weekday,20191127,1
Toei.NipporiToneri/Weekday,20191128,1
Toei.NipporiToneri/Weekday,20191129,1
Toei.NipporiToneri/SaturdayHoliday,20191130,1
Toei.NipporiToneri/Weekday,20191202,1
Toei.NipporiToneri/Weekday,20191203,1
Toei.NipporiToneri/Weekday,20191204,1
Toei.NipporiToneri/Weekday,20191205,1
Toei.NipporiToneri/Weekday,20191206,1
Toei.NipporiToneri/SaturdayHoliday,20191207,1
Toei.NipporiToneri/Weekday,20191209,1
Toei.NipporiToneri/Weekday,20191210,1
Toei.NipporiToneri/Weekday,20191211,1
Toei.NipporiToneri/Weekday,20191212,1
Toei.NipporiToneri/Weekday,20191213,1
Toei.NipporiToneri/SaturdayHoliday,20191214,1
Toei.NipporiToneri/Weekday,20191216,1
Toei.NipporiToneri/Weekday,20191217,1
Toei.NipporiToneri/Weekday,20191218,1
Toei.NipporiToneri/Weekday,20191219,1
Toei.NipporiToneri/Weekday,20191220,1
Toei.NipporiToneri/SaturdayHoliday,20191221,1
Toei.NipporiToneri/Weekday,20191223,1
Toei.NipporiToneri/Weekday,20191224,1
Toei.NipporiToneri/Weekday,20191225,1
Toei.NipporiToneri/Weekday,20191226,1
Toei.NipporiToneri/Weekday,20191227,1
Toei.NipporiToneri/SaturdayHoliday,20191228,1
Toei.NipporiToneri/Weekday,20191230,1
Toei.NipporiToneri/Weekday,20191231,1
Toei.NipporiToneri/Weekday,20200101,1
Toei.NipporiToneri/Weekday,20200102,1
Toei.NipporiToneri/Weekday,20200103,1
Toei.NipporiToneri/SaturdayHoliday,20200104,1
Toei.NipporiToneri/Weekday,20200106,1
Toei.NipporiToneri/Weekday,20200107,1
Toei.NipporiToneri/Weekday,20200108,1
Toei.NipporiToneri/Weekday,20200109,1
Toei.NipporiToneri/Weekday,20200110,1
Toei.NipporiToneri/SaturdayHoliday,20200111,1
Toei.NipporiToneri/Weekday,20200113,1
Toei.NipporiToneri/Weekday,20200114,1
Toei.NipporiToneri/Weekday,20200115,1
Toei.NipporiToneri/Weekday,20200116,1
Toei.NipporiToneri/Weekday,20200117,1
Toei.NipporiToneri/SaturdayHoliday,20200118,1
Toei.NipporiToneri/Weekday,20200120,1
Toei.NipporiToneri/Weekday,20200121,1
Toei.NipporiToneri/Weekday,20200122,1
Toei.NipporiToneri/Weekday,20200123,1
Toei.NipporiToneri/Weekday,20200124,1
Toei.NipporiToneri/SaturdayHoliday,20200125,1
Toei.NipporiToneri/Weekday,20200127,1
Toei.NipporiToneri/Weekday,20200128,1
Toei.NipporiToneri/Weekday,20200129,1
Toei.NipporiToneri/Weekday,20200130,1
Toei.NipporiToneri/Weekday,20200131,1
Toei.Shinjuku/Weekday,20190805,1
Toei.Shinjuku/Weekday,20190806,1
Toei.Shinjuku/Weekday,20190807,1
Toei.Shinjuku/Weekday,20190808,1
Toei.Shinjuku/Weekday,20190809,1
Toei.Shinjuku/SaturdayHoliday,20190810,1
Toei.Shinjuku/Weekday,20190812,1
Toei.Shinjuku/Weekday,20190813,1
Toei.Shinjuku/Weekday,20190814,1
Toei.Shinjuku/Weekday,20190815,1
Toei.Shinjuku/Weekday,20190816,1
Toei.Shinjuku/SaturdayHoliday,20190817,1
Toei.Shinjuku/Weekday,20190819,1
Toei.Shinjuku/Weekday,20190820,1
Toei.Shinjuku/Weekday,20190821,1
Toei.Shinjuku/Weekday,20190822,1
Toei.Shinjuku/Weekday,20190823,1
Toei.Shinjuku/SaturdayHoliday,20190824,1
Toei.Shinjuku/Weekday,20190826,1
Toei.Shinjuku/Weekday,20190827,1
Toei.Shinjuku/Weekday,20190828,1
Toei.Shinjuku/Weekday,20190829,1
Toei.Shinjuku/Weekday,20190830,1
Toei.Shinjuku/SaturdayHoliday,20190831,1
Toei.Shinjuku/Weekday,20190902,1
Toei.Shinjuku/Weekday,20190903,1
Toei.Shinjuku/Weekday,20190904,1
Toei.Shinjuku/Weekday,20190905,1
Toei.Shinjuku/Weekday,20190906,1
Toei.Shinjuku/SaturdayHoliday,20190907,1
Toei.Shinjuku/Weekday,20190909,1
Toei.Shinjuku/Weekday,20190910,1
Toei.Shinjuku/Weekday,20190911,1
Toei.Shinjuku/Weekday,20190912,1
Toei.Shinjuku/Weekday,20190913,1
Toei.Shinjuku/SaturdayHoliday,20190914,1
Toei.Shinjuku/Weekday,20190916,1
Toei.Shinjuku/Weekday,20190917,1
Toei.Shinjuku/Weekday,20190918,1
Toei.Shinjuku/Weekday,20190919,1
Toei.Shinjuku/Weekday,20190920,1
Toei.Shinjuku/SaturdayHoliday,20190921,1
Toei.Shinjuku/Weekday,20190923,1
Toei.Shinjuku/Weekday,20190924,1
Toei.Shinjuku/Weekday,20190925,1
Toei.Shinjuku/Weekday,20190926,1
Toei.Shinjuku/Weekday,20190927,1
Toei.Shinjuku/SaturdayHoliday,20190928,1
Toei.Shinjuku/Weekday,20190930,1
Toei.Shinjuku/Weekday,20191001,1
Toei.Shinjuku/Weekday,20191002,1
Toei.Shinjuku/Weekday,20191003,1
Toei.Shinjuku/Weekday,20191004,1
Toei.Shinjuku/SaturdayHoliday,20191005,1
Toei.Shinjuku/Weekday,20191007,1
Toei.Shinjuku/Weekday,20191008,1
Toei.Shinjuku/Weekday,20191009,1
Toei.Shinjuku/Weekday,20191010,1
Toei.Shinjuku/Weekday,20191011,1
Toei.Shinjuku/SaturdayHoliday,20191012,1
Toei.Shinjuku/Weekday,20191014,1
Toei.Shinjuku/Weekday,20191015,1
Toei.Shinjuku/Weekday,20191016,1
Toei.Shinjuku/Weekday,20191017,1
Toei.Shinjuku/Weekday,20191018,1
Toei.Shinjuku/SaturdayHoliday,20191019,1
Toei.Shinjuku/Weekday,20191021,1
Toei.Shinjuku/Weekday,20191022,1
Toei.Shinjuku/Weekday,20191023,1
Toei.Shinjuku/Weekday,20191024,1
Toei.Shinjuku/Weekday,20191025,1
Toei.Shinjuku/SaturdayHoliday,20191026,1
Toei.Shinjuku/Weekday,20191028,1
Toei.Shinjuku/Weekday,20191029,1
Toei.Shinjuku/Weekday,20191030,1
Toei.Shinjuku/Weekday,20191031,1
Toei.Shinjuku/Weekday,20191101,1
Toei.Shinjuku/SaturdayHoliday,20191102,1
Toei.Shinjuku/Weekday,20191104,1
Toei.Shinjuku/Weekday,20191105,1
Toei.Shinjuku/Weekday,20191106,1
Toei.Shinjuku/Weekday,20191107,1
Toei.Shinjuku/Weekday,20191108,1
Toei.Shinjuku/SaturdayHoliday,20191109,1
Toei.Shinjuku/Weekday,20191111,1
Toei.Shinjuku/Weekday,20191112,1
Toei.Shinjuku/Weekday,20191113,1
Toei.Shinjuku/Weekday,20191114,1
Toei.Shinjuku/Weekday,20191115,1
Toei.Shinjuku/SaturdayHoliday,20191116,1
Toei.Shinjuku/Weekday,20191118,1
Toei.Shinjuku/Weekday,20191119,1
Toei.Shinjuku/Weekday,20191120,1
Toei.Shinjuku/Weekday,20191121,1
Toei.Shinjuku/Weekday,20191122,1
Toei.Shinjuku/SaturdayHoliday,20191123,1
Toei.Shinjuku/Weekday,20191125,1
Toei.Shinjuku/Weekday,20191126,1
Toei.Shinjuku/Weekday,20191127,1
Toei.Shinjuku/Weekday,20191128,1
Toei.Shinjuku/Weekday,20191129,1
Toei.Shinjuku/SaturdayHoliday,20191130,1
Toei.Shinjuku/Weekday,20191202,1
Toei.Shinjuku/Weekday,20191203,1
Toei.Shinjuku/Weekday,20191204,1
Toei.Shinjuku/Weekday,20191205,1
Toei.Shinjuku/Weekday,20191206,1
Toei.Shinjuku/SaturdayHoliday,20191207,1
Toei.Shinjuku/Weekday,20191209,1
Toei.Shinjuku/Weekday,20191210,1
Toei.Shinjuku/Weekday,20191211,1
Toei.Shinjuku/Weekday,20191212,1
Toei.Shinjuku/Weekday,20191213,1
Toei.Shinjuku/SaturdayHoliday,20191214,1
Toei.Shinjuku/Weekday,20191216,1
Toei.Shinjuku/Weekday,20191217,1
Toei.Shinjuku/Weekday,20191218,1
Toei.Shinjuku/Weekday,20191219,1
Toei.Shinjuku/Weekday,20191220,1
Toei.Shinjuku/SaturdayHoliday,20191221,1
Toei.Shinjuku/Weekday,20191223,1
Toei.Shinjuku/Weekday,20191224,1
Toei.Shinjuku/Weekday,20191225,1
Toei.Shinjuku/Weekday,20191226,1
Toei.Shinjuku/Weekday,20191227,1
Toei.Shinjuku/SaturdayHoliday,20191228,1
Toei.Shinjuku/Weekday,20191230,1
Toei.Shinjuku/Weekday,20191231,1
Toei.Shinjuku/Weekday,20200101,1
Toei.Shinjuku/Weekday,20200102,1
Toei.Shinjuku/Weekday,20200103,1
Toei.Shinjuku/SaturdayHoliday,20200104,1
Toei.Shinjuku/Weekday,20200106,1
Toei.Shinjuku/Weekday,20200107,1
Toei.Shinjuku/Weekday,20200108,1
Toei.Shinjuku/Weekday,20200109,1
Toei.Shinjuku/Weekday,20200110,1
Toei.Shinjuku/SaturdayHoliday,20200111,1
Toei.Shinjuku/Weekday,20200113,1
Toei.Shinjuku/Weekday,20200114,1
Toei.Shinjuku/Weekday,20200115,1
Toei.Shinjuku/Weekday,20200116,1
Toei.Shinjuku/Weekday,20200117,1
Toei.Shinjuku/SaturdayHoliday,20200118,1
Toei.Shinjuku/Weekday,20200120,1
Toei.Shinjuku/Weekday,20200121,1
Toei.Shinjuku/Weekday,20200122,1
Toei.Shinjuku/Weekday,20200123,1
Toei.Shinjuku/Weekday,20200124,1
Toei.Shinjuku/SaturdayHoliday,20200125,1
Toei.Shinjuku/Weekday,20200127,1
Toei.Shinjuku/Weekday,20200128,1
Toei.Shinjuku/Weekday,20200129,1
Toei.Shinjuku/Weekday,20200130,1
Toei.Shinjuku/Weekday,20200131,1
Toei.Oedo/Weekday,20190805,1
Toei.Oedo/Weekday,20190806,1
Toei.Oedo/Weekday,20190807,1
Toei.Oedo/Weekday,20190808,1
Toei.Oedo/Weekday,20190809,1
Toei.Oedo/SaturdayHoliday,20190810,1
Toei.Oedo/Weekday,20190812,1
Toei.Oedo/Weekday,20190813,1
Toei.Oedo/Weekday,20190814,1
Toei.Oedo/Weekday,20190815,1
Toei.Oedo/Weekday,20190816,1
Toei.Oedo/SaturdayHoliday,20190817,1
Toei.Oedo/Weekday,20190819,1
Toei.Oedo/Weekday,20190820,1
Toei.Oedo/Weekday,20190821,1
Toei.Oedo/Weekday,20190822,1
Toei.Oedo/Weekday,20190823,1
Toei.Oedo/SaturdayHoliday,20190824,1
Toei.Oedo/Weekday,20190826,1
Toei.Oedo/Weekday,20190827,1
Toei.Oedo/Weekday,20190828,1
Toei.Oedo/Weekday,20190829,1
Toei.Oedo/Weekday,20190830,1
Toei.Oedo/SaturdayHoliday,20190831,1
Toei.Oedo/Weekday,20190902,1
Toei.Oedo/Weekday,20190903,1
Toei.Oedo/Weekday,20190904,1
Toei.Oedo/Weekday,20190905,1
Toei.Oedo/Weekday,20190906,1
Toei.Oedo/SaturdayHoliday,20190907,1
Toei.Oedo/Weekday,20190909,1
Toei.Oedo/Weekday,20190910,1
Toei.Oedo/Weekday,20190911,1
Toei.Oedo/Weekday,20190912,1
Toei.Oedo/Weekday,20190913,1
Toei.Oedo/SaturdayHoliday,20190914,1
Toei.Oedo/Weekday,20190916,1
Toei.Oedo/Weekday,20190917,1
Toei.Oedo/Weekday,20190918,1
Toei.Oedo/Weekday,20190919,1
Toei.Oedo/Weekday,20190920,1
Toei.Oedo/SaturdayHoliday,20190921,1
Toei.Oedo/Weekday,20190923,1
Toei.Oedo/Weekday,20190924,1
Toei.Oedo/Weekday,20190925,1
Toei.Oedo/Weekday,20190926,1
Toei.Oedo/Weekday,20190927,1
Toei.Oedo/SaturdayHoliday,20190928,1
Toei.Oedo/Weekday,20190930,1
Toei.Oedo/Weekday,20191001,1
Toei.Oedo/Weekday,20191002,1
Toei.Oedo/Weekday,20191003,1
Toei.Oedo/Weekday,20191004,1
Toei.Oedo/SaturdayHoliday,20191005,1
Toei.Oedo/Weekday,20191007,1
Toei.Oedo/Weekday,20191008,1
Toei.Oedo/Weekday,20191009,1
Toei.Oedo/Weekday,20191010,1
Toei.Oedo/Weekday,20191011,1
Toei.Oedo/SaturdayHoliday,20191012,1
Toei.Oedo/Weekday,20191014,1
Toei.Oedo/Weekday,20191015,1
Toei.Oedo/Weekday,20191016,1
Toei.Oedo/Weekday,20191017,1
Toei.Oedo/Weekday,20191018,1
Toei.Oedo/SaturdayHoliday,20191019,1
Toei.Oedo/Weekday,20191021,1
Toei.Oedo/Weekday,20191022,1
Toei.Oedo/Weekday,20191023,1
Toei.Oedo/Weekday,20191024,1
Toei.Oedo/Weekday,20191025,1
Toei.Oedo/SaturdayHoliday,20191026,1
Toei.Oedo/Weekday,20191028,1
Toei.Oedo/Weekday,20191029,1
Toei.Oedo/Weekday,20191030,1
Toei.Oedo/Weekday,20191031,1
Toei.Oedo/Weekday,20191101,1
Toei.Oedo/SaturdayHoliday,20191102,1
Toei.Oedo/Weekday,20191104,1
Toei.Oedo/Weekday,20191105,1
Toei.Oedo/Weekday,20191106,1
Toei.Oedo/Weekday,20191107,1
Toei.Oedo/Weekday,20191108,1
Toei.Oedo/SaturdayHoliday,20191109,1
Toei.Oedo/Weekday,20191111,1
Toei.Oedo/Weekday,20191112,1
Toei.Oedo/Weekday,20191113,1
Toei.Oedo/Weekday,20191114,1
Toei.Oedo/Weekday,20191115,1
Toei.Oedo/SaturdayHoliday,20191116,1
Toei.Oedo/Weekday,20191118,1
Toei.Oedo/Weekday,20191119,1
Toei.Oedo/Weekday,20191120,1
Toei.Oedo/Weekday,20191121,1
Toei.Oedo/Weekday,20191122,1
Toei.Oedo/SaturdayHoliday,20191123,1
Toei.Oedo/Weekday,20191125,1
Toei.Oedo/Weekday,20191126,1
Toei.Oedo/Weekday,20191127,1
Toei.Oedo/Weekday,20191128,1
Toei.Oedo/Weekday,20191129,1
Toei.Oedo/SaturdayHoliday,20191130,1
Toei.Oedo/Weekday,20191202,1
Toei.Oedo/Weekday,20191203,1
Toei.Oedo/Weekday,20191204,1
Toei.Oedo/Weekday,20191205,1
Toei.Oedo/Weekday,20191206,1
Toei.Oedo/SaturdayHoliday,20191207,1
Toei.Oedo/Weekday,20191209,1
Toei.Oedo/Weekday,20191210,1
Toei.Oedo/Weekday,20191211,1
Toei.Oedo/Weekday,20191212,1
Toei.Oedo/Weekday,20191213,1
Toei.Oedo/SaturdayHoliday,20191214,1
Toei.Oedo/Weekday,20191216,1
Toei.Oedo/Weekday,20191217,1
Toei.Oedo/Weekday,20191218,1
Toei.Oedo/Weekday,20191219,1
Toei.Oedo/Weekday,20191220,1
Toei.Oedo/SaturdayHoliday,20191221,1
Toei.Oedo/Weekday,20191223,1
Toei.Oedo/Weekday,20191224,1
Toei.Oedo/Weekday,20191225,1
Toei.Oedo/Weekday,20191226,1
Toei.Oedo/Weekday,20191227,1
Toei.Oedo/SaturdayHoliday,20191228,1
Toei.Oedo/Weekday,20191230,1
Toei.Oedo/Weekday,20191231,1
Toei.Oedo/Weekday,20200101,1
Toei.Oedo/Weekday,20200102,1
Toei.Oedo/Weekday,20200103,1
Toei.Oedo/SaturdayHoliday,20200104,1
Toei.Oedo/Weekday,20200106,1
Toei.Oedo/Weekday,20200107,1
Toei.Oedo/Weekday,20200108,1
Toei.Oedo/Weekday,20200109,1
Toei.Oedo/Weekday,20200110,1
Toei.Oedo/SaturdayHoliday,20200111,1
Toei.Oedo/Weekday,20200113,1
Toei.Oedo/Weekday,20200114,1
Toei.Oedo/Weekday,20200115,1
Toei.Oedo/Weekday,20200116,1
Toei.Oedo/Weekday,20200117,1
Toei.Oedo/SaturdayHoliday,20200118,1
Toei.Oedo/Weekday,20200120,1
Toei.Oedo/Weekday,20200121,1
Toei.Oedo/Weekday,20200122,1
Toei.Oedo/Weekday,20200123,1
Toei.Oedo/Weekday,20200124,1
Toei.Oedo/SaturdayHoliday,20200125,1
Toei.Oedo/Weekday,20200127,1
Toei.Oedo/Weekday,20200128,1
Toei.Oedo/Weekday,20200129,1
Toei.Oedo/Weekday,20200130,1
Toei.Oedo/Weekday,20200131,1
Keio.Dobutsuen/Weekday,20190805,1
Keio.Dobutsuen/Weekday,20190806,1
Keio.Dobutsuen/Weekday,20190807,1
Keio.Dobutsuen/Weekday,20190808,1
Keio.Dobutsuen/Weekday,20190809,1
Keio.Dobutsuen/SaturdayHoliday,20190810,1
Keio.Dobutsuen/Weekday,20190812,1
Keio.Dobutsuen/Weekday,20190813,1
Keio.Dobutsuen/Weekday,20190814,1
Keio.Dobutsuen/Weekday,20190815,1
Keio.Dobutsuen/Weekday,20190816,1
Keio.Dobutsuen/SaturdayHoliday,20190817,1
Keio.Dobutsuen/Weekday,20190819,1
Keio.Dobutsuen/Weekday,20190820,1
Keio.Dobutsuen/Weekday,20190821,1
Keio.Dobutsuen/Weekday,20190822,1
Keio.Dobutsuen/Weekday,20190823,1
Keio.Dobutsuen/SaturdayHoliday,20190824,1
Keio.Dobutsuen/Weekday,20190826,1
Keio.Dobutsuen/Weekday,20190827,1
Keio.Dobutsuen/Weekday,20190828,1
Keio.Dobutsuen/Weekday,20190829,1
Keio.Dobutsuen/Weekday,20190830,1
Keio.Dobutsuen/SaturdayHoliday,20190831,1
Keio.Dobutsuen/Weekday,20190902,1
Keio.Dobutsuen/Weekday,20190903,1
Keio.Dobutsuen/Weekday,20190904,1
Keio.Dobutsuen/Weekday,20190905,1
Keio.Dobutsuen/Weekday,20190906,1
Keio.Dobutsuen/SaturdayHoliday,20190907,1
Keio.Dobutsuen/Weekday,20190909,1
Keio.Dobutsuen/Weekday,20190910,1
Keio.Dobutsuen/Weekday,20190911,1
Keio.Dobutsuen/Weekday,20190912,1
Keio.Dobutsuen/Weekday,20190913,1
Keio.Dobutsuen/SaturdayHoliday,20190914,1
Keio.Dobutsuen/Weekday,20190916,1
Keio.Dobutsuen/Weekday,20190917,1
Keio.Dobutsuen/Weekday,20190918,1
Keio.Dobutsuen/Weekday,20190919,1
Keio.Dobutsuen/Weekday,20190920,1
Keio.Dobutsuen/SaturdayHoliday,20190921,1
Keio.Dobutsuen/Weekday,20190923,1
Keio.Dobutsuen/Weekday,20190924,1
Keio.Dobutsuen/Weekday,20190925,1
Keio.Dobutsuen/Weekday,20190926,1
Keio.Dobutsuen/Weekday,20190927,1
Keio.Dobutsuen/SaturdayHoliday,20190928,1
Keio.Dobutsuen/Weekday,20190930,1
Keio.Dobutsuen/Weekday,20191001,1
Keio.Dobutsuen/Weekday,20191002,1
Keio.Dobutsuen/Weekday,20191003,1
Keio.Dobutsuen/Weekday,20191004,1
Keio.Dobutsuen/SaturdayHoliday,20191005,1
Keio.Dobutsuen/Weekday,20191007,1
Keio.Dobutsuen/Weekday,20191008,1
Keio.Dobutsuen/Weekday,20191009,1
Keio.Dobutsuen/Weekday,20191010,1
Keio.Dobutsuen/Weekday,20191011,1
Keio.Dobutsuen/SaturdayHoliday,20191012,1
Keio.Dobutsuen/Weekday,20191014,1
Keio.Dobutsuen/Weekday,20191015,1
Keio.Dobutsuen/Weekday,20191016,1
Keio.Dobutsuen/Weekday,20191017,1
Keio.Dobutsuen/Weekday,20191018,1
Keio.Dobutsuen/SaturdayHoliday,20191019,1
Keio.Dobutsuen/Weekday,20191021,1
Keio.Dobutsuen/Weekday,20191022,1
Keio.Dobutsuen/Weekday,20191023,1
Keio.Dobutsuen/Weekday,20191024,1
Keio.Dobutsuen/Weekday,20191025,1
Keio.Dobutsuen/SaturdayHoliday,20191026,1
Keio.Dobutsuen/Weekday,20191028,1
Keio.Dobutsuen/Weekday,20191029,1
Keio.Dobutsuen/Weekday,20191030,1
Keio.Dobutsuen/Weekday,20191031,1
Keio.Dobutsuen/Weekday,20191101,1
Keio.Dobutsuen/SaturdayHoliday,20191102,1
Keio.Dobutsuen/Weekday,20191104,1
Keio.Dobutsuen/Weekday,20191105,1
Keio.Dobutsuen/Weekday,20191106,1
Keio.Dobutsuen/Weekday,20191107,1
Keio.Dobutsuen/Weekday,20191108,1
Keio.Dobutsuen/SaturdayHoliday,20191109,1
Keio.Dobutsuen/Weekday,20191111,1
Keio.Dobutsuen/Weekday,20191112,1
Keio.Dobutsuen/Weekday,20191113,1
